Bin1,Bin2,Bin3,Bin4,Bin5,genes,q_value,p_value
2.2434e-05,1.6766e-05,1.7134e-05,3.4079e-05,2.7426e-05,Tomm40l,0.0468169597720548,0.0017126
0.013712,0.011581,0.013574,0.012336,0.011823,Malat1,0.0127265210609097,0.00025359
0.00030132,0.00037408,0.00044554,0.00029783,0.00032134,Hsp90b1,0.0334609147644955,0.0010449
0.00012384,0.00039017,0.00017385,0.00043165,0.00046107,Efhd2,3.33535573936964e-43,1.9839e-46
0.00011074,0.00019873,0.00022223,0.00011032,6.5601e-05,Efemp1,0.00809671517758163,0.00013244
3.0567e-05,5.5166e-05,4.0852e-05,4.1226e-05,5.1021e-05,Dlgap4,0.0354277140245285,0.001159
0.00029714,0.00023931,0.00026902,0.000228,0.00016891,Gm26917,0.00750010709814533,0.00011771
0.00010546,0.00012288,0.00012113,9.7428e-05,6.5141e-05,Tmf1,0.0140715109836571,0.0003055
5.6552e-05,0.00011159,6.0255e-05,6.9733e-05,9.6527e-05,Plod3,0.0411027255477816,0.001418
0.00036838,0.00054034,0.00047888,0.00040996,0.00024516,Apln,0.00551039411307682,8.0302e-05
0.030407,0.029193,0.026773,0.028521,0.034688,Apoe,7.95594172432799e-07,3.5152e-09
