spotcounts,genes,slide,normalisedDepth,ctxdepthInterval,cell.id,ctxdepthInterval_10
0,Chrdl1,009H,0.029475878041658,1,009H_M8b_E3_Astrocytes_611_8,1
17,Chrdl1,009H,0.0943635046464899,1,009H_M8b_E3_Astrocytes_611_10,1
7,Chrdl1,009H,0.0597791776531454,1,009H_M8b_E3_Astrocytes_611_11,1
11,Chrdl1,009H,0.0603313038166613,1,009H_M8b_E3_Astrocytes_612_1,1
2,Id1,009I,0.0693495344755011,1,009I_M4b_E3_Astrocytes_911_1,1
6,Id1,009I,0.0547484245269973,1,009I_M4b_E3_Astrocytes_911_2,1
1,Id1,009I,0.0871523649653696,1,009I_M4b_E3_Astrocytes_911_3,1
8,Id1,009I,0.0117527664175627,1,009I_M4b_E3_Astrocytes_911_8,1
5,Id1,009I,0.0819231150142809,1,009I_M4b_E3_Astrocytes_911_9,1
13,Id1,009I,0.0125567953703504,1,009I_M4b_E3_Astrocytes_911_10,1
2,Id1,009I,0.011658693091679,1,009I_M4b_E3_Astrocytes_911_11,1
15,Id1,009I,0.0227558082925767,1,009I_M4b_E3_Astrocytes_911_13,1
18,Id1,009I,0.0223214111489639,1,009I_M4b_E3_Astrocytes_889_1,1
13,Id1,009I,0.0183268002073109,1,009I_M4b_E3_Astrocytes_889_2,1
2,Id1,009I,0.0168311573663624,1,009I_M4b_E3_Astrocytes_889_3,1
3,Id1,009I,0.0210565330209534,1,009I_M4b_E3_Astrocytes_889_4,1
8,Id1,009I,0.02236942871334,1,009I_M4b_E3_Astrocytes_889_5,1
3,Id1,009I,0.0758076169986956,1,009I_M4b_E3_Astrocytes_938_2,1
18,Id1,009I,0.0604733189268989,1,009I_M4b_E3_Astrocytes_938_4,1
1,Id1,009I,0.0468348113925977,1,009I_M4b_E3_Astrocytes_629_3,1
6,Id1,009I,0.0148640824299928,1,009I_M4b_E3_Astrocytes_629_4,1
5,Id1,009I,0.0627372671588459,1,009I_M4b_E3_Astrocytes_629_5,1
0,Id1,009I,0.0702646409270988,1,009I_M4b_E3_Astrocytes_629_6,1
6,Id1,009I,0.0893638624715631,1,009I_M4b_E3_Astrocytes_713_1,1
4,Id1,009I,0.0686683610489552,1,009I_M4b_E3_Astrocytes_633_1,1
4,Id1,009I,0.0731709701193356,1,009I_M4b_E3_Astrocytes_633_2,1
3,Id1,009I,0.0462261984195804,1,009I_M4b_E3_Astrocytes_633_3,1
4,Id1,009I,0.044047995153405,1,009I_M4b_E3_Astrocytes_681_1,1
2,Id1,009I,0.0412721829330779,1,009I_M4b_E3_Astrocytes_681_3,1
6,Id1,009I,0.0946737160076766,1,009I_M4b_E3_Astrocytes_681_4,1
8,Id1,009I,0.0906115935890915,1,009I_M4b_E3_Astrocytes_681_7,1
19,Id1,009I,0.0226646977053046,1,009I_M4b_E3_Astrocytes_891_1,1
16,Id1,009I,0.0209814964263508,1,009I_M4b_E3_Astrocytes_891_2,1
11,Id1,009I,0.0225210463357192,1,009I_M4b_E3_Astrocytes_891_3,1
